Barbie (I) (2023),"Adventure, Comedy, Fantasy",Barbie suffers a crisis that leads her to question her world and her existence.
Vertigo (1958),"Mystery, Romance, Thriller","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
Come Fly with Me (1963),"Comedy, Romance","Three flight attendants combine their work crossing the Atlantic with searching for rich, handsome men to marry."
Empire of Light (2022),"Drama, Romance","A drama about the power of human connection during turbulent times, set in an English coastal town in the early 1980s."
Moulin Rouge! (2001),"Drama, Musical, Romance",A poor Bohemian poet in 1890s Paris falls for a beautiful courtesan and nightclub star coveted by a jealous duke.
The Beach (I) (2000),"Adventure, Drama, Romance","On vacation in Thailand, Richard sets out for an island rumored to be a solitary beach paradise."
After We Fell (2021),"Drama, Romance","Just as Tessa makes the biggest decision of her life, everything changes. Revelations about her family, and then Hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim."
The Legend of Tarzan (2016),"Action, Adventure, Drama","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
It's a Wonderful Life (1946),"Drama, Family, Fantasy",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
The Virgin Suicides (1999),"Drama, Romance","A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents in suburban Detroit in the mid 1970s."
13 Going on 30 (2004),"Comedy, Fantasy, Romance","Jenna Rink makes an unusual wish on her birthday. Miraculously, her wish comes true and the 13-year-old Jenna wakes up the next day as a 30-year-old woman."
Shrek 2 (2004),"Animation, Adventure, Comedy","Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be."
Sleepless in Seattle (1993),"Comedy, Drama, Romance",A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.
Below Her Mouth (2016),"Drama, Romance",An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.
50 First Dates (2004),"Comedy, Drama, Romance",Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.
Steel Magnolias (1989),"Comedy, Drama, Romance","A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship, and welcome her into the fold."
Don Jon (2013),"Comedy, Drama, Romance","A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love."
Phantom Thread (2017),"Drama, History, Romance","Set in 1950s London, Reynolds Woodcock is a renowned dressmaker whose fastidious life is disrupted by a young, strong-willed woman, Alma, who becomes his muse and lover."
Sex and the City 2 (2010),"Comedy, Drama, Romance","While wrestling with the pressures of life, love, and work in Manhattan, Carrie, Miranda, and Charlotte join Samantha for a trip to Abu Dhabi (United Arab Emirates), where Samantha's ex is filming a new movie."
Romancing the Stone (1984),"Action, Adventure, Comedy","A mousy romance novelist sets off for Colombia to ransom her kidnapped sister, and soon finds herself in the middle of a dangerous adventure hunting for treasure with a mercenary rogue."
Peter Pan (2003),"Adventure, Family, Fantasy","The Darling family children receive a visit from Peter Pan, who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place."
The Twilight Saga: Eclipse (2010),"Action, Adventure, Drama","As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob."
The Layover (I) (2017),"Comedy, Romance",Two friends on a road trip compete for the affections of a handsome man when their flight is redirected due to a hurricane.
She's All That (1999),"Comedy, Romance",A high school jock makes a bet that he can turn an unattractive girl into the school's prom queen.
Under the Tuscan Sun (2003),"Comedy, Drama, Romance",A writer impulsively buys a villa in Tuscany in order to change her life.
Can't Buy Me Love (1987),"Comedy, Drama, Romance",An outcast secretly pays the most popular girl in school one thousand dollars to pretend to be his girlfriend for a month.
Zara Hatke Zara Bachke (2023),"Comedy, Drama, Family","Kapil and Somya are a happily married couple from Indore who live in a joint family and decide to get a divorce one fine day. Things don't go as planned as their family gets to know of it, and thus begins a comedy of errors."
Magnificent Obsession (1954),"Drama, Romance","A rich playboy whose recklessness inadvertently causes the death of a prominent doctor tries to make amends to his widow, and falls for her in the process."
Anastasia (1997),"Animation, Adventure, Drama","The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death."
Ghost (1990),"Drama, Fantasy, Romance","After a young man is murdered, his spirit stays behind to warn his lover of impending danger, with the help of a reluctant psychic."
Weird Science (1985),"Comedy, Romance, Sci-Fi","Two high-school nerds use a computer program to literally create the perfect woman, who promptly turns their lives upside-down."
I Now Pronounce You Chuck & Larry (2007),"Comedy, Romance","Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits."
There's Something About Mary (1998),"Comedy, Romance","A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster."
Some Like It Hot (1959),"Comedy, Music, Romance","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Jezebel (1938),"Drama, Romance","In 1850s Louisiana, a free-spirited Southern belle loses her fiancé due to her stubborn vanity and pride, and vows to win him back."
Marriage Story (2019),"Drama, Romance",Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
I Give It a Year (2013),"Comedy, Romance","Newlywed couple Nat and Josh are deliriously happy despite their differences, though friends and family aren't convinced that they can last. With their first anniversary approaching and attractive alternatives in the mix, can they last?"
Good Night (II) (2023),"Comedy, Drama, Romance",A simple boy-next-door character whose biggest problem in life is his snoring.He falls in love with a girl and how the couple overcome his sleeping problem while living together.
Kicking & Screaming (2005),"Comedy, Family, Romance","Family man Phil Weston, a lifelong victim of his father's competitive nature, takes on the coaching duties of a kids' soccer team, and soon finds that he's also taking on his father's dysfunctional way of relating."
Kisi Ka Bhai Kisi Ki Jaan (2023),"Action, Comedy, Drama","The eldest brother refuses to marry since he believes it may create disharmony in his big family. His brothers, who've already found partners, come together to find a match for him."
Midnight in Paris (2011),"Comedy, Fantasy, Romance","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
Natural Born Killers (1994),"Action, Crime, Romance",Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.
The Princess and the Frog (2009),"Animation, Adventure, Comedy","A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him."
Teen Wolf: The Movie (2023),"Action, Drama, Fantasy","A terrifying evil has emerged. The wolves howl once again, but only a Werewolf like Scott McCall, can gather both new allies and reunite trusted friends to fight back against what could be the most powerful and deadliest enemy."
Leaving Las Vegas (1995),"Drama, Romance","Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
Somebody I Used to Know (2023),"Comedy, Romance","On a trip to her hometown, workaholic Ally reminisces with her ex Sean and starts to question everything about the person she's become. Things only get more confusing when she meets Cassidy, who reminds her of the person she used to be."
On the Town (1949),"Comedy, Musical, Romance",Three sailors wreak havoc as they search for love during a whirlwind 24-hour leave in New York City.
How to Lose a Guy in 10 Days (2003),"Comedy, Romance","Benjamin Barry is an advertising executive and ladies' man who, to win a big campaign, bets that he can make a woman fall in love with him in 10 days."
Valley Girl (1983),"Comedy, Romance","Julie, a girl from the valley, meets Randy, a punk from the city. They are from different worlds and find love. Somehow they need to stay together in spite of her trendy, shallow friends."
The Next 365 Days (2022),"Drama, Romance",Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.
Knocked Up (2007),"Comedy, Romance","For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child."
The Fault in Our Stars (2014),"Drama, Romance",Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
Far from the Madding Crowd (2015),"Drama, Romance","In Victorian England, the independent and headstrong Bathsheba Everdene attracts three very different suitors: Gabriel Oak, a sheep farmer; Frank Troy, a reckless Sergeant; and William Boldwood, a prosperous and mature bachelor."
Robin Hood: Men in Tights (1993),"Adventure, Comedy, Musical","A spoof of Robin Hood in general, andRobin Hood: Prince of Thieves(1991) in particular."
What's Love Got to Do with It? (2022),"Comedy, Romance","In London, an award-winning film-maker documents her best friend's journey into an assisted marriage in line with his family's Pakistani heritage. In the process, she challenges her own attitude towards relationships."
Robots (2005),"Animation, Adventure, Comedy","In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management."
Frances Ha (2012),"Comedy, Drama, Romance","A New York woman apprentices for a dance company and throws herself headlong into her dreams, even as the possibility of realizing them dwindles."
Walk the Line (2005),"Biography, Drama, Music","A chronicle of country music legendJohnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongsideElvis Presley,Jerry Lee Lewis, andCarl Perkins."
Dirty Dancing: Havana Nights (2004),"Drama, Music, Romance","High school senior Katey moves to Havana in November 1958, when her dad gets a promotion at Ford. She meets a local waiter, who introduces her to sensual Cuban music/dance. They enter a big dance contest for the prize when he gets fired."
Sixteen Candles (1984),"Comedy, Romance","A girl's ""sweet"" sixteenth birthday is anything but special: her family forgets about it, and she suffers from every embarrassment possible."
9 Songs (2004),"Drama, Music, Romance","In London, intense sexual encounters take place between an American college student, named Lisa, and an English scientist, named Matt, between attending rock concerts."
A Walk to Remember (2002),"Drama, Romance","Two North Carolina teens, Landon Carter and Jamie Sullivan, are thrown together after Landon gets into trouble and is sentenced to perform community service."
Beauty and the Beast (1991),"Animation, Family, Fantasy",A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
Perfect Addiction (2023),"Action, Drama, Romance","A successful boxing trainer discovers that her boyfriend, a reigning champion, has been cheating on her with her own sister. She sets out to get revenge by training the one man capable of dethroning him: his arch-nemesis Kayden."
My Big Fat Greek Wedding (2002),"Comedy, Drama, Romance",A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.
Open Range (2003),"Action, Drama, Romance",A former gunslinger is forced to take up arms again when he and his cattle crew are threatened by a corrupt lawman.
Beautiful Creatures (2013),"Drama, Fantasy, Romance","Ethan Wate longs to escape his small southern town. He meets a mysterious new girl, Lena Duchannes. Together, they uncover dark secrets about their respective families, their history, and their town."
Indiana Jones and the Sanctuary of the Black Order (2021),"Action, Adventure, Romance","1938. A group of American archaeologists are taken prisoners in the Castle of Wewelsburg. Indiana Jones with Sallah and Husani will travel to the Nazi Vatican, to discover the last and the darkest plan of the Third Reich."
Maestro (2023),"Biography, Drama, Music","The complex love of Leonard and Felicia, from the time they met in 1946 at a party and continuing through two engagements, a 25 year marriage, and three children."
The Secret of My Succe$s (1987),"Comedy, Romance","A talented young man can't get an executive position without rising through the ranks, so he comes up with a shortcut, which also benefits his love life."
Five Feet Apart (2019),"Drama, Romance","A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact."
Wolf (1994),"Drama, Horror, Romance",Publisher Will Randall becomes a demon wolf and has to fight to keep his job.
Ultimo tango a Parigi (1972),"Drama, Romance",A young Parisian woman meets a middle-aged American businessman who demands their clandestine relationship be based only on sex.
St. Elmo's Fire (1985),"Drama, Romance","A group of friends, just out of college, struggle with adulthood."
Slumdog Millionaire (2008),"Crime, Drama, Romance","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?""."
Zookeeper (2011),"Comedy, Family, Fantasy","A group of zoo animals decide to break their code of silence in order to help their lovable zookeeper find love, without opting to leave his current job for something more illustrious."
365 Days: This Day (2022),"Drama, Romance",Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.
Rocky Aur Rani Kii Prem Kahaani (2023),"Comedy, Drama, Family","Magnifies the power of love, embraces the complexities of relationships, and celebrates the beauty of both perfect and imperfect families."
May December (2023),"Drama, Romance","Twenty years after their notorious tabloid romance gripped the nation, a married couple buckles under the pressure when an actress arrives to do research for a film about their past."
Can't Hardly Wait (1998),"Comedy, Romance","A complete graduating class, consisting of beautiful girls, geeks and promising footballers, assemble at a rich classmate's residence for a party. Interesting developments follow at the get-together."
Endless Love (1981),"Drama, Romance","Parental disapproval of a passionate romance between two teenagers leads to arguments, circumstance, insanity and tragedy."
Fa yeung nin wah (2000),"Drama, Romance","Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
Up in the Air (I) (2009),"Comedy, Drama, Romance","Ryan Bingham enjoys living out of a suitcase for his job, travelling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest, and a new hire presenting a new business model."
Overboard (1987),"Comedy, Romance","A cruel but beautiful heiress mocks and cheats a hired carpenter. When she gets amnesia after an accident, he decides to introduce her to regular life by convincing her that they're husband and wife."
As Good as It Gets (1997),"Comedy, Drama, Romance","A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
The Terminal (2004),"Comedy, Drama, Romance","An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there."
Emily (2022),"Biography, Drama, History","""Emily"" imagines the transformative, exhilarating, and uplifting journey to womanhood of a rebel and a misfit, one of the world's most famous, enigmatic, and provocative writers, who died, too soon, at age 30."
The Duff (2015),"Comedy, Romance","A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts."
Nuovo Cinema Paradiso (1988),"Drama, Romance",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
Good Luck Chuck (2007),"Comedy, Romance","In order to keep the woman of his dreams from falling for another guy, Charlie Logan has to break the curse that has made him wildly popular with single women: Sleep with Charlie once, and the next man you meet will be your true love."
Road to Singapore (1940),"Comedy, Musical, Romance",Two playboys try to forget previous romances in Singapore - until they meet a beautiful dancer.
Four Weddings and a Funeral (1994),"Comedy, Drama, Romance","Over the course of five social occasions, a committed bachelor must consider the notion that he may have discovered love."
To All the Boys I've Loved Before (2018),"Comedy, Drama, Romance",A teenage girl's secret love letters are exposed and wreak havoc on her love life.
Paradise (1982),"Adventure, Romance","After their caravan is attacked and their respective families butchered by Arab marauders, teenagers David and Sarah flee across the desert. But the desert is filled with danger from the elements, animals and the appetite of the Jackal."
No Strings Attached (I) (2011),"Comedy, Romance","A guy and girl try to keep their relationship strictly physical, but it's not long before they learn that they want something more."
Where the Heart Is (2000),"Comedy, Drama, Romance","A pregnant seventeen-year-old rebuilds her life after being abandoned by her boyfriend at a Walmart in Sequoyah, Oklahoma."
The Kissing Booth (2018),"Comedy, Romance",A high school student is forced to confront her secret crush at a kissing booth.
Freaky Friday (2003),"Comedy, Family, Fantasy","An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday."
The English Patient (1996),"Drama, Romance, War","At the close of World War II, a young nurse tends to a badly-burned plane crash victim. His past is shown in flashbacks, revealing an involvement in a fateful love affair."
The Young Victoria (2009),"Biography, Drama, History","A dramatization of the turbulent first years of Queen Victoria's rule, and her enduring romance with Prince Albert."
Wedding Crashers (2005),"Comedy, Romance","John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary."
Ghost Town (I) (2008),"Comedy, Drama, Fantasy","Bertram Pincus is a man whose people skills leave much to be desired. When Pincus dies unexpectedly, but is miraculously revived after seven minutes, he wakes up to discover that he now has the annoying ability to see ghosts."
Career Opportunities (1991),"Comedy, Romance",Jim is the dorky son of a local cement contractor who lives at home and has no direction. Josie is the gorgeous daughter of a wealthy businessman who dreams of leaving town. They find they have a lot in common.
Rye Lane (2023),"Comedy, Drama, Romance",Two youngsters reeling from bad breakups who connect over an eventful day in South-London.
Lolita (1962),"Crime, Drama, Romance",A middle-aged college professor becomes infatuated with a fourteen-year-old girl.
Emma. (2020),"Comedy, Drama, Romance","In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends."
Puss in Boots (2011),"Animation, Adventure, Comedy","An outlaw cat, his childhood egg-friend, and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor, and regain the trust of his mother and town."
Yesterday (III) (2019),"Comedy, Fantasy, Music",A struggling musician realizes he's the only person on Earth who can rememberThe Beatlesafter waking up in an alternate reality where they never existed.
Six Days Seven Nights (1998),"Action, Adventure, Comedy","Robin Monroe, a New York magazine editor, and the gruff pilot Quinn Harris must put aside their mutual dislike if they are to survive after crash landing on a deserted South Seas island."
Enchanted (2007),"Animation, Adventure, Comedy","A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer."
Dick Tracy (1990),"Action, Comedy, Crime",The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.
Splash (1984),"Comedy, Fantasy, Romance","A young man is reunited with a mermaid who saved him from drowning as a boy. He falls in love with her, not knowing who or what she is."
Disenchanted (2022),"Animation, Adventure, Comedy","Fifteen years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process."
An Officer and a Gentleman (1982),"Drama, Romance","A young man must complete his work at a Navy Officer Candidate School to become an aviator, with the help of a tough Gunnery Sergeant and his new girlfriend."
Big Jim McLain (1952),"Crime, Drama, History","In the post-war Hawaii, House Un-American Activities Committee investigators Jim McLain and Mal Baxter hunt down Communists."
Shakespeare in Love (1998),"Comedy, Drama, History","The world's greatest ever playwright,William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays."
Reminiscence (2021),"Mystery, Romance, Sci-Fi","Nick Bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client Mae. A simple case becomes an obsession after she disappears and he fights to learn the truth about her."
Around the World in 80 Days (1956),"Adventure, Comedy, Family",A Victorian Englishman bets that with the new steamships and railways he can circumnavigate the globe in eighty days.
Sense and Sensibility (1995),"Drama, Romance","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
The Twilight Saga: Breaking Dawn - Part 1 (2011),"Adventure, Drama, Fantasy","The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks."
Picnic (1955),"Drama, Romance",Emotions are ignited amongst the complacent townsfolk when a handsome drifter arrives in a small Kansas community on the morning of the Labour Day picnic.
Out of Africa (1985),"Biography, Drama, Romance","In 20th-century colonial Kenya, a Danish baroness/plantation owner has a passionate love affair with a free-spirited big-game hunter."
Miss Congeniality (2000),"Action, Comedy, Crime",An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.
Sex Tape (2014),"Comedy, Romance","A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts."
Belfast (2021),"Biography, Drama, Romance",A young boy and his working-class Belfast family experience the tumultuous late 1960s.
Better Off Dead... (1985),"Comedy, Romance","After his girlfriend ditches him for a boorish ski jock, Lane decides that suicide is the only answer. However, his increasingly inept attempts bring him only more agony and embarrassment. Filled with the wildest teen nightmares."
Cinderella (I) (2021),"Comedy, Family, Fantasy","A modern movie musical with a bold take on the classic fairy tale. Our ambitious heroine has big dreams and with the help of her fab Godmother, she perseveres to make them come true."
The Twilight Saga: New Moon (2009),"Adventure, Drama, Fantasy","Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black."
En man som heter Ove (2015),"Comedy, Drama, Romance","Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
This Beautiful Fantastic (2016),"Comedy, Drama, Romance","A young woman who dreams of becoming a children's book author makes an unlikely friendship with a cantankerous, rich old widower."
Finding You (2021),"Drama, Romance",Violinist Finley Sinclair travels to an Irish coastal village to begin her semester studying abroad. At the B&B run by her host family she encounters the gregarious and persistent heartthrob movie star Beckett Rush.
The Three Musketeers (2011),"Action, Adventure, Fantasy",The hot-headed young D'Artagnan along with three former legendary but now down-on-their-luck Musketeers must unite and defeat a beautiful double agent and her villainous employer from seizing the French throne and engulfing Europe in war.
American Honey (2016),"Adventure, Drama, Romance","A teenage girl with nothing to lose joins a traveling magazine sales crew, and gets caught up in a whirlwind of hard partying, law bending and young love as she criss-crosses the Midwest with a band of misfits."
Howard the Duck (1986),"Action, Adventure, Comedy",A sarcastic humanoid duck is pulled from his homeworld to Earth where he must stop an alien invasion with the help of a nerdy scientist and a struggling female rock singer.
Charming the Hearts of Men (2021),"Drama, History, Romance","A romantic drama set during the politically charged early 60s where a sophisticated woman returns to her Southern home town and discovers her options are limited yet discrimination is plentiful. With the help of a Congressional ally, she inspires historic legislation which allows opportunities and protections never before afforded to women."
My Girl (1991),"Comedy, Drama, Family",A young girl on the threshold of her teen years finds her life turning upside down when she is accompanied by an unlikely friend.
The Skeleton Twins (2014),"Comedy, Drama, Romance","Having both coincidentally cheated death on the same day, estranged twins reunite with the possibility of mending their relationship."
Father of the Bride (1991),"Comedy, Family, Romance","With his oldest daughter's wedding approaching, a father finds himself reluctant to let go."
Hackers (1995),"Crime, Drama, Romance",Hackers are blamed for making a virus that will capsize five oil tankers.
The Giver (2014),"Drama, Romance, Sci-Fi","In a seemingly perfect community without war, pain, suffering, differences, or choices, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world."
A Good Year (2006),"Comedy, Drama, Romance","A British investment broker inherits his uncle's chateau and vineyard in Provence, where he spent much of his childhood. He discovers a new laid-back lifestyle as he tries to renovate the estate to be sold."
Persuasion (I) (2022),"Drama, Romance","Eight years after Anne Elliot was persuaded not to marry a dashing man of humble origins, they meet again. Will she seize her second chance at true love?"
The Parent Trap (1961),"Comedy, Family, Romance",Teenage twin sisters swap places and scheme to reunite their divorced parents.
Mystic Pizza (1988),"Comedy, Drama, Romance",Three teenage girls come of age while working at a pizza parlor in the Connecticut town of Mystic.
The Wrong Missy (2020),"Comedy, Romance","Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date."
The Tarnished Angels (1957),"Action, Adventure, Drama",Story of the fraught friendship between an eccentric journalist and a team of daredevil flying acrobats.
She's Out of My League (2010),"Comedy, Romance","An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship."
A Tourist's Guide to Love (2023),"Adventure, Comedy, Romance","An executive goes through an unexpected breakup, then accepting an assignment to go undercover and learn about the tourist industry in Vietnam."
Singin' in the Rain (1952),"Comedy, Musical, Romance",A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
Breakfast at Tiffany's (1961),"Comedy, Drama, Romance","A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way."
The Piano (1993),"Drama, Music, Romance","In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker."
Bridget Jones's Diary (2001),"Comedy, Drama, Romance",Bridget Jones is determined to improve herself while she looks for love in a year in which she keeps a personal diary.
Fire Island (I) (2022),"Comedy, Romance","A group of queer best friends gather in Fire Island Pines for their annual week of love and laughter, but a sudden change of events might make this their last summer in gay paradise."
Singles (1992),"Comedy, Drama, Music",A group of twenty-something friends search for love and success in grunge-era Seattle.
Tiptoes (2002),"Comedy, Drama, Romance",The story of a peculiar love triangle involving two brothers.
What Happens in Vegas (2008),"Comedy, Romance","A man and a woman are compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money."
The Quick and the Dead (1995),"Action, Drama, Romance","A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death."
The Best of Me (2014),"Drama, Romance",A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.
Grease 2 (1982),"Comedy, Music, Musical",A British student at a 1960s American high school must prove himself to the leader of a girls' gang whose members can only date greasers.
The Three Musketeers (1993),"Action, Adventure, Romance","France, 1625: Young d'Artagnan heads to Paris to join the Musketeers but the evil cardinal has disbanded them - save 3. He meets the 3, Athos, Porthos and Aramis, and joins them on their quest to save the king and country."
Zack and Miri Make a Porno (2008),"Comedy, Romance","Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought."
You've Got Mail (1998),"Comedy, Drama, Romance","Book superstore magnate Joe Fox and independent book shop owner Kathleen Kelly fall in love in the anonymity of the Internet, both blissfully unaware that he's trying to put her out of business."
Willow (1988),"Action, Adventure, Drama",A young farmer is chosen to undertake a perilous journey in order to protect a special baby from an evil queen.
The Wedding Date (2005),"Comedy, Romance","Single-girl anxiety causes Kat Ellis to hire a male escort to pose as her boyfriend at her sister's wedding. Her plan, an attempt to dupe her ex-fiancé, who dumped her a couple years prior, proves to be her undoing."
Coming to America (1988),"Comedy, Romance","An extremely pampered African prince travels to Queens, New York and goes undercover to find a wife that he can respect for her intelligence and strong will."
No Way Out (1987),"Action, Crime, Drama",A coverup and witchhunt occur after a politician accidentally kills his mistress.
The Holiday (2006),"Comedy, Romance","Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
Take Me Home Tonight (2011),"Comedy, Drama, Romance","Four years after graduation, an awkward high school genius uses his sister's boyfriend's Labor Day party as the perfect opportunity to make his move on his high school crush."
The Sweetest Thing (2002),"Comedy, Romance","Christina Walters spent years avoiding men, then suddenly met her perfect match while hanging with her best friends, Courtney and Jane. When she finds out that he has left town, she and Courtney set out on a trip."
My Policeman (2022),"Drama, Romance",The arrival of Patrick into Marion and Tom's home triggers the exploration of seismic events from 40 years previously.
My Big Fat Greek Wedding 3 (2023),"Comedy, Drama, Romance","Join the Portokalos family as they travel to a family reunion in Greece for a heartwarming and hilarious trip full of love, twists and turns."
Supergirl (1984),"Action, Adventure, Fantasy","After losing a powerful orb, Kara Zor-El, Superman's cousin, comes to Earth to retrieve it and instead finds herself up against a wicked witch."
Downton Abbey: A New Era (2022),"Drama, Romance",The Crawley family goes on a grand journey to the South of France to uncover the mystery of the dowager countess's newly inherited villa.
When Harry Met Sally... (1989),"Comedy, Drama, Romance","Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
Intimacy (2001),"Drama, Romance","A failed London musician meets once a week with a woman for a series of intense sexual encounters to get away from the realities of life. But when he begins inquiring about her, it puts their relationship at risk."
Shallow Hal (2001),"Comedy, Drama, Fantasy",A shallow man falls in love with a 300-pound woman because of her inner beauty.
Bull Durham (1988),"Comedy, Romance, Sport",A fan who has an affair with one minor-league baseball player each season meets an up-and-coming pitcher and the experienced catcher assigned to him.
The Mask of Zorro (1998),"Action, Adventure, Comedy","A young thief seeking revenge for his brother's death is trained by the once-great, aging Zorro, who is pursuing his own vengeance."
Átame! (1989),"Comedy, Crime, Drama",An unbalanced but alluring former mental patient takes a porn star prisoner in the hopes of convincing her to marry him.
One Day (2011),"Drama, Romance","After spending the night together on the night of their college graduation Dexter and Emma are shown each year on the same date to see where they are in their lives. They are sometimes together, sometimes not, on that day."
Burlesque (I) (2010),"Drama, Music, Musical",A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.
The Harvey Girls (1946),"Comedy, Drama, History","On a train trip West to become a mail-order bride, Susan Bradley (Judy Garland) meets a cheery crew of young women travelling out to open a ""Harvey House"" restaurant at a remote whistle-stop."
