Priyotoma (2023),"Action, Drama, Romance","A tragic love story that left an indelible mark on Sumon's life, shattering his world and leaving him forever transformed."
The Patriot (2000),"Action, Drama, History",Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.
A Star Is Born (2018),"Drama, Music, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
BlackBerry (2023),"Biography, Comedy, Drama",The story of the meteoric rise and catastrophic demise of the world's first smartphone.
"Are You There God? It's Me, Margaret. (2023)","Comedy, Drama, Family","When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence."
Pulp Fiction (1994),"Crime, Drama","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Once Upon a Time in... Hollywood (2019),"Comedy, Drama",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
Top Gun (1986),"Action, Drama","As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom."
Blade Runner 2049 (2017),"Action, Drama, Mystery","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
10x10 (2018),"Drama, Thriller","A man abducts a flower shop owner and holds her captive in a small, soundproof room in an effort to extract a dark secret from her past."
Pearl (2022),"Drama, Horror, Thriller","In 1918, a young woman on the brink of madness pursues stardom in a desperate attempt to escape the drudgery, isolation and lovelessness of life on her parents' farm."
Triangle of Sadness (2022),"Comedy, Drama",A fashion model celebrity couple join an eventful cruise for the super-rich.
Satyaprem Ki Katha (2023),"Comedy, Drama, Musical","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway."
1776 (1972),"Drama, Family, History",A musical retelling of the American Revolution's political struggle in the Continental Congress to declare independence.
Pride & Prejudice (2005),"Drama, Romance","Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
Tetris (2023),"Biography, Drama, History","The story of how one of the world's most popular video games found its way to players around the globe. Businessman Henk Rogers and Tetris inventor Alexey Pajitnov join forces in the USSR, risking it all to bring Tetris to the masses."
The Fabelmans (2022),Drama,"Growing up in post-World War II era Arizona, young Sammy Fabelman aspires to become a filmmaker as he reaches adolescence, but soon discovers a shattering family secret and explores how the power of films can help him see the truth."
One Flew Over the Cuckoo's Nest (1975),Drama,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
Creed III (2023),"Drama, Sport","Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight."
Old (2021),"Drama, Horror, Mystery","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day."
Little Miss Sunshine (2006),"Comedy, Drama",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
Roald Dahl's Matilda the Musical (2022),"Comedy, Drama, Family","An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results."
Inglourious Basterds (2009),"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
65 (2023),"Action, Adventure, Drama",An astronaut crash lands on a mysterious planet only to discover he's not alone.
Sanctuary (I) (2022),"Drama, Thriller","Follows a dominatrix and Hal, her wealthy client, and the disaster that ensues when Hal tries to end their relationship."
Saving Private Ryan (1998),"Drama, War","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
Forrest Gump (1994),"Drama, Romance","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
Afwaah (2023),"Drama, Thriller",An advertising professional and a political heiress whose lives are upended by a viral social media rumour.
Missing (2023),"Drama, Mystery, Thriller","After her mother goes missing, a young woman tries to find her from home, using tools available to her online."
Heat (1995),"Action, Crime, Drama",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
White House Down (2013),"Action, Drama, Thriller","While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders."
The Lord of the Rings: The Fellowship of the Ring (2001),"Action, Adventure, Drama",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Prisoners (2013),"Crime, Drama, Mystery","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
Lust Stories (2018),"Drama, Romance","Four short films by four of India's biggest directors exploring love, sex and relationships in modern India."
Flamin' Hot (2023),"Biography, Drama, History","This is the inspiring ""true"" story of Richard Montañez who, as a Frito Lay janitor, disrupted the food industry by channeling his Mexican heritage to turn Flamin' Hot Cheetos from a snack into an iconic global pop culture phenomenon."
Aftersun (II) (2022),Drama,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...
No Country for Old Men (2007),"Crime, Drama, Thriller",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
The Sandlot (1993),"Comedy, Drama, Family","In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
The Perfect Find (2023),"Comedy, Drama, Romance","After a high-profile firing, Jenna's fashion career comeback hits a snag when she falls for a charming, much younger coworker - who happens to be her boss's son. As sparks fly, Jenna must decide if she'll risk it all on a secret romance."
Immortals (2011),"Action, Drama, Fantasy","Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity."
Avengers: Endgame (2019),"Action, Adventure, Drama","After the devastating events ofAvengers: Infinity War(2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
The Departed (2006),"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Misanthrope (2023),"Action, Crime, Drama",Baltimore. New Year's Eve. A talented but troubled police officer (Shailene Woodley) is recruited by the FBI's chief investigator (Ben Mendelsohn) to help profile and track down a disturbed individual terrorizing the city.
Prisoner's Daughter (2022),Drama,"A father fights for the love of his daughter and grandson, after serving twelve years in prison."
Gladiator (2000),"Action, Adventure, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Django Unchained (2012),"Drama, Western","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
Glass Onion (2022),"Comedy, Crime, Drama","Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case."
The Woman King (2022),"Action, Drama, History","A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries."
The Shining (1980),"Drama, Horror","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
The Prestige (2006),"Drama, Mystery, Sci-Fi","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
Se7en (1995),"Crime, Drama, Mystery","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
Gone Girl (2014),"Drama, Mystery, Thriller","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
There Will Be Blood (2007),Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
GoodFellas (1990),"Biography, Crime, Drama","The story ofHenry Hilland his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
Where the Crawdads Sing (2022),"Drama, Mystery, Romance",A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.
Tombstone (1993),"Biography, Drama, History","A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
American Psycho (2000),"Crime, Drama, Horror","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
Fight Club (1999),Drama,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Fifty Shades of Grey (2015),"Drama, Romance, Thriller","Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
The Banshees of Inisherin (2022),"Comedy, Drama","Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them."
Hereditary (2018),"Drama, Horror, Mystery",A grieving family is haunted by tragic and disturbing occurrences.
Schindler's List (1993),"Biography, Drama, History","In German-occupied Poland during World War II, industrialistOskar Schindlergradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
Retribution (I) (2023),"Action, Crime, Drama",A bank executive receives a bomb threat while driving his children to school that his car will explode if they stop and get out.
You Hurt My Feelings (2023),"Comedy, Drama",A novelist's longstanding marriage is suddenly upended when she overhears her husband giving his honest reaction to her latest book.
The Passion of the Christ (2004),Drama,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem."
Gisaengchung (2019),"Drama, Thriller",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
The Huntsman: Winter's War (2016),"Action, Adventure, Drama","Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna."
The French Dispatch (2021),"Comedy, Drama, Romance","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine""."
Dunkirk (2017),"Action, Drama, History","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
Long ma jing shen (2023),"Action, Comedy, Drama",A washed-up stuntman and his stunt horse become an overnight social media sensation when their real-life fight with debt collectors goes viral.
