8 Mile (2002),"Drama, Music","Follows a young rapper in the Detroit area, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem."
Tenacious D in The Pick of Destiny (2006),"Adventure, Comedy, Music","To become the greatest band of all time, two slacker, wannabe-rockers set out on a quest to steal a legendary guitar pick that gives its holders incredible guitar skills, from a maximum security Rock and Roll museum."
Rocketman (I) (2019),"Biography, Drama, Music",A musical fantasy about the fantastical human story ofElton John's breakthrough years.
Some Like It Hot (1959),"Comedy, Music, Romance","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
Straight Outta Compton (2015),"Biography, Drama, History","The rap groupNWAemerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
Sound of Metal (2019),"Drama, Music",A heavy metal drummer's life is turned upside down when he begins to lose his hearing and he must confront a future filled with silence.
Walk the Line (2005),"Biography, Drama, Music","A chronicle of country music legendJohnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongsideElvis Presley,Jerry Lee Lewis, andCarl Perkins."
Dirty Dancing: Havana Nights (2004),"Drama, Music, Romance","High school senior Katey moves to Havana in November 1958, when her dad gets a promotion at Ford. She meets a local waiter, who introduces her to sensual Cuban music/dance. They enter a big dance contest for the prize when he gets fired."
Climax (I) (2018),"Drama, Horror, Music","French dancers gather in a remote, empty school building to rehearse on a wintry night. The all-night celebration morphs into a hallucinatory nightmare when they learn their sangria is laced with LSD."
9 Songs (2004),"Drama, Music, Romance","In London, intense sexual encounters take place between an American college student, named Lisa, and an English scientist, named Matt, between attending rock concerts."
Trolls (2016),"Animation, Adventure, Comedy","After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."
La pianiste (2001),"Drama, Music",A young man romantically pursues his masochistic piano teacher.
Maestro (2023),"Biography, Drama, Music","The complex love of Leonard and Felicia, from the time they met in 1946 at a party and continuing through two engagements, a 25 year marriage, and three children."
Rio (2011),"Animation, Adventure, Comedy","When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."
Tarzan (1999),"Animation, Adventure, Comedy",A man raised by gorillas must decide where he really belongs when he discovers he is a human.
Saturday Night Fever (1977),"Drama, Music","Anxious about his future after high school, a 19-year-old Italian-American from Brooklyn tries to escape the harsh reality of his bleak family life by dominating the dance floor at the local disco."
Freaky Friday (2003),"Comedy, Family, Fantasy","An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday."
Yesterday (III) (2019),"Comedy, Fantasy, Music",A struggling musician realizes he's the only person on Earth who can rememberThe Beatlesafter waking up in an alternate reality where they never existed.
Dick Tracy (1990),"Action, Comedy, Crime",The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.
Green Room (2015),"Crime, Drama, Horror",A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.
The Dirt (2019),"Biography, Comedy, Drama","Based on the bestselling autobiography from Mötley Crüe, the film is an unflinching tale of success and excess as four misfits rise from the streets of Hollywood to the heights of international fame."
Top Secret! (1984),"Comedy, Crime, Music",An American rock and roll singer (Val Kilmer) becomes involved in a Resistance plot to rescue a scientist (Michael Gough) imprisoned in East Germany.
The Piano (1993),"Drama, Music, Romance","In the mid-19th century a mute woman is sent to New Zealand along with her young daughter and prized piano for an arranged marriage to a farmer, but is soon lusted after by a farm worker."
Singles (1992),"Comedy, Drama, Music",A group of twenty-something friends search for love and success in grunge-era Seattle.
Grease 2 (1982),"Comedy, Music, Musical",A British student at a 1960s American high school must prove himself to the leader of a girls' gang whose members can only date greasers.
This Is Spinal Tap (1984),"Comedy, Music","Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour."
Trolls Band Together (2023),"Animation, Adventure, Comedy","Poppy discovers that Branch was once part of a boy band, BroZone, with his brothers: Floyd, John Dory, Spruce, and Clay. But when Floyd is kidnapped, Branch and Poppy embark on a journey to reunite the other brothers and rescue Floyd."
Pitch Perfect 2 (2015),"Comedy, Music","After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform."
Eurovision Song Contest: The Story of Fire Saga (2020),"Comedy, Music","When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for."
Burlesque (I) (2010),"Drama, Music, Musical",A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.
Black Snake Moan (2006),"Drama, Music","A God-fearing bluesman takes to a wild young woman who, as a victim of childhood sexual abuse, looks everywhere for love, never quite finding it."
Flashdance (1983),"Drama, Music, Romance",A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.
Priscilla (II),"Biography, Drama, Music",Sofia Coppola's take on the relationship between Priscilla and Elvis Presley.
Entergalactic (2022),"Animation, Comedy, Music","Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life."
The Bodyguard (1992),"Action, Drama, Music","A former Secret Service agent takes on the job of bodyguard to an R&B singer, whose lifestyle is most unlike a President's."
Alvin and the Chipmunks (2007),"Animation, Adventure, Comedy",Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.
Sister Act (1992),"Comedy, Family, Music","When a nightclub singer is forced to take refuge from the mob in a convent, she ends up turning the convent choir into a soulful chorus complete with a Motown repertoire, until the sudden celebrity of the choir jeopardizes her identity."
Step Up (2006),"Crime, Drama, Music","Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora."
Empire Records (1995),"Comedy, Drama, Music",Twenty-four hours in the lives of the young employees at Empire Records when they all grow up and become young adults thanks to each other and the manager. They all face the store joining a chain store with strict rules.
Begin Again (II) (2013),"Comedy, Drama, Music","A chance encounter between a down-and-out music-business executive and a young singer-songwriter, new to Manhattan, turns into a promising collaboration between the two talents."
The Doors (1991),"Biography, Drama, Music","The story of the famous and influential 1960s rock bandThe Doorsand its lead singer and composer,Jim Morrison, from his days as a UCLA film student in Los Angeles, to his untimely death in Paris, France at age 27 in 1971."
That Thing You Do! (1996),"Comedy, Drama, Music","A local Pennsylvania band scores a one-hit wonder in 1964 and rides the star-making machinery as long as they can, with lots of help from their manager."
Magic Mike XXL (2015),"Comedy, Drama, Music","Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance."
Walk Hard: The Dewey Cox Story (2007),"Comedy, Music",Singer Dewey Cox overcomes adversity to become a musical legend.
"The Adventures of Priscilla, Queen of the Desert (1994)","Comedy, Music",Two drag performers and a transgender woman travel across the desert to perform their unique style of cabaret.
High Fidelity (2000),"Comedy, Drama, Music","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress."
If I Stay (2014),"Drama, Fantasy, Music","Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on."
Victor/Victoria (1982),"Comedy, Music, Romance","A struggling female soprano finds work playing a male female impersonator, but it complicates her personal life."
Center Stage (2000),"Drama, Music, Romance",A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.
Up in Smoke (1978),"Comedy, Music","Two stoners unknowingly smuggle a van - made entirely of marijuana - from Mexico to L.A., with incompetent Sgt. Stedenko on their trail."
What's Love Got to Do with It (1993),"Biography, Drama, Music","The story of singerTina Turner's rise to stardom and how she gained the courage to break free from her abusive husband,Ike Turner."
Pitch Perfect 3 (2017),"Comedy, Music","Following their win at the world championship, the now separated Bellas reunite for one last singing competition at an overseas USO tour, but face a group who uses both instruments and voices."
Marry Me (2022),"Comedy, Music, Romance","Music superstars Kat Valdez and Bastian are getting married before a global audience of fans. But when Kat learns, seconds before her vows, that Bastian has been unfaithful, she instead decides to marry Charlie, a stranger in the crowd."
Ray (I) (2004),"Biography, Drama, Music","The story of the life and career of the legendary rhythm and blues musicianRay Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
A Night at the Roxbury (1998),"Comedy, Music, Romance","Two dim-witted brothers dream of owning their own dance club or at least getting into the coolest and most exclusive club in town, The Roxbury."
Metal Lords (2022),"Comedy, Music",Two friends try to form a heavy metal band with a cellist for a Battle of the Bands.
Dreamin' Wild (2022),"Biography, Drama, Music",Musical duo Donnie and Joe Emerson spend everything they have to produce a record in the 1970s.
Get Him to the Greek (2010),"Comedy, Music",A record company intern is hired to accompany out-of-control British rock star Aldous Snow to a concert at L.A.'s Greek Theater.
