Jerry Maguire (1996),"Comedy, Drama, Romance","When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague."
The Blind Side (2009),"Biography, Drama, Sport","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
King Richard (2021),"Biography, Drama, Sport",A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.
Hustle (2022),"Comedy, Drama, Sport",A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.
The Waterboy (1998),"Comedy, Sport",A waterboy for a college football team discovers he has a unique tackling ability and becomes a member of the team.
Rookie of the Year (1993),"Comedy, Family, Fantasy","When an accident miraculously gives a boy an incredibly powerful pitching arm, he becomes a major league pitcher for the Chicago Cubs."
Rocky III (1982),"Drama, Sport","Rocky faces the ultimate challenge from a powerful new contender, and must turn to a former rival to help regain his throne as the undisputed fighting champion."
Rocky Balboa (2006),"Action, Drama, Sport","Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon."
Kicking & Screaming (2005),"Comedy, Family, Romance","Family man Phil Weston, a lifelong victim of his father's competitive nature, takes on the coaching duties of a kids' soccer team, and soon finds that he's also taking on his father's dysfunctional way of relating."
Shooting Stars (2023),"Biography, Drama, History",A look at the young life of basketball star LeBron James. Feature film adaptation of LeBron James and Buzz Bissinger's book 'Shooting Stars'.
Slap Shot (1977),"Comedy, Drama, Sport",A failing ice hockey team finds success with outrageously violent hockey goonery.
The Program (II) (2015),"Biography, Drama, Sport","An Irish sports journalist becomes convinced that Lance Armstrong's performances during the Tour de France victories are fueled by banned substances. With this conviction, he starts hunting for evidence that will expose Armstrong."
Perfect Addiction (2023),"Action, Drama, Romance","A successful boxing trainer discovers that her boyfriend, a reigning champion, has been cheating on her with her own sister. She sets out to get revenge by training the one man capable of dethroning him: his arch-nemesis Kayden."
Raging Bull (1980),"Biography, Drama, Sport","The life of boxerJake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
Rocky V (1990),"Drama, Sport","Reluctantly retired from fighting, Rocky takes charge of Mickey's gym and agrees to train a young protégé who's hungry for success."
Million Dollar Baby (2004),"Drama, Sport","Frankie, an ill-tempered old coach, reluctantly agrees to train aspiring boxer Maggie. Impressed with her determination and talent, he helps her become the best and the two soon form a close bond."
Cars 3 (2017),"Animation, Adventure, Comedy",Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.
The Cannonball Run (1981),"Action, Comedy, Sport","A wide variety of eccentric competitors participate in a wild and illegal cross-country road race. However, the eccentric entrants will do anything to win the road race, including low-down, dirty tricks."
Cars 2 (2011),"Animation, Adventure, Comedy",Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
Major League (1989),"Comedy, Sport","The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her."
Over the Top (1987),"Action, Drama, Sport",Tough trucker Lincoln Hawk is determined to win back his son and triumph at the world arm wrestling championships.
Days of Thunder (1990),"Action, Drama, Sport",A young hot-shot stock car driver gets his chance to compete at the top level.
The Swimmers (2022),"Biography, Drama, Sport","From war-torn Syria to the 2016 Rio Olympics, two young sisters embark on a harrowing journey as refugees, putting both their hearts and champion swimming skills to heroic use."
The Wrestler (2008),"Drama, Sport, Thriller","A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
Surf's Up (2007),"Animation, Adventure, Comedy","A behind-the-scenes look at the annual Penguin World Surfing Championship, and its newest participant, up-and-comer Cody Maverick."
Sweetwater (2023),"Biography, Drama, Sport","Hall of Famer, Nat 'Sweetwater' Clifton, makes history as the first African American to sign an NBA contract, forever changing how the game of basketball is played."
Nacho Libre (2006),"Comedy, Family, Sport","Berated all his life by those around him, a monk follows his dream and dons a mask to moonlight as a Luchador (Mexican wrestler)."
Coach Carter (2005),"Biography, Drama, Sport",Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.
Rocky II (1979),"Drama, Sport","Rocky struggles in family life after his bout with Apollo Creed, while the embarrassed champ insistently goads him to accept a challenge for a rematch."
Lamborghini: The Man Behind the Legend (2022),"Biography, Drama, Sport","Hoping to beat longtime rival Enzo Ferrari, Ferruccio Lamborghini tries to get his untested car prepped for a victory at the upcoming Geneva Grand Prix."
Bloodsport (1988),"Action, Biography, Drama","""Bloodsport"" followsFrank Dux, an American martial artist serving in the military, who decides to leave the army to compete in a martial arts tournament in Hong Kong where fights to the death can occur."
Real Steel (2011),"Action, Drama, Sci-Fi","In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot."
Molly's Game (2017),"Biography, Crime, Drama","The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target."
